City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Francistown,BW,-21.17,27.5079,70.27,66,100,7.43,overcast clouds
254,Mao,ES,39.8885,4.2658,73.96,83,0,6.91,clear sky
255,Kutum,SD,14.2,24.6667,78.71,21,18,13.35,few clouds
256,Juybar,IR,36.6412,52.9124,68.16,79,99,8.86,overcast clouds
257,Korla,CN,41.7597,86.1469,53.73,33,1,8.48,clear sky
258,Honningsvag,NO,70.9821,25.9704,35.35,87,75,11.5,broken clouds
259,Venice,US,27.0998,-82.4543,86.14,68,70,4.0,broken clouds
260,Nsanje,MW,-16.92,35.262,89.04,39,86,10.92,overcast clouds
261,Kayerkan,RU,69.3497,87.7602,24.53,100,100,15.08,snow
262,Kilis,TR,36.7161,37.115,61.03,30,0,3.4,clear sky
263,Gornyy,RU,55.1153,83.9059,29.39,74,78,12.33,broken clouds
264,Zhezkazgan,KZ,47.8043,67.7144,35.91,33,31,8.57,scattered clouds
265,Alappuzha,IN,9.49,76.3264,79.0,78,1,3.42,clear sky
266,Teno,CL,-34.8667,-71.1833,71.19,45,0,9.22,clear sky
267,Emba,KZ,48.8264,58.1442,42.58,33,100,11.14,overcast clouds
268,Kulhudhuffushi,MV,6.6221,73.07,81.01,83,100,14.14,overcast clouds
269,Jammal,TN,35.6223,10.757,82.08,39,0,3.44,clear sky
270,Margate,GB,51.3813,1.3862,59.9,82,41,4.0,scattered clouds
271,Gat,IL,31.61,34.7642,74.08,100,1,8.57,clear sky
272,Marshfield,US,44.6689,-90.1718,63.28,94,75,16.11,broken clouds
273,Yanam,IN,16.7333,82.2167,72.52,84,7,3.31,clear sky
274,Namibe,AO,-15.1961,12.1522,69.42,83,56,4.45,broken clouds
275,Mineros,BO,-17.1167,-63.2333,98.35,27,83,2.08,broken clouds
276,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,67,25,8.88,scattered clouds
277,Kaukauna,US,44.278,-88.272,71.69,73,100,18.01,overcast clouds
278,Alora,ES,36.8236,-4.7058,81.91,39,65,5.19,broken clouds
279,Islahiye,TR,37.025,36.6306,65.84,39,0,2.48,clear sky
280,Neyshabur,IR,36.2133,58.7958,65.59,36,0,5.39,clear sky
281,Imbituba,BR,-28.24,-48.6703,68.18,71,70,9.91,broken clouds
282,Blyth,GB,55.1271,-1.5086,58.08,82,100,1.99,overcast clouds
283,Luanda,AO,-8.8368,13.2343,77.14,84,77,15.1,broken clouds
284,Galgamacsa,HU,47.6956,19.3872,59.05,89,94,4.25,overcast clouds
285,Krasnoselkup,RU,65.7,82.4667,30.7,94,100,14.92,light snow
286,Novo Aripuana,BR,-5.1206,-60.3797,94.24,45,98,1.68,overcast clouds
287,Rio Gallegos,AR,-51.6226,-69.2181,59.05,31,75,12.66,broken clouds
288,Barela,IN,23.1,80.05,64.02,65,0,1.79,clear sky
289,Kondinskoye,RU,59.6481,67.41,35.94,66,100,17.76,overcast clouds
290,Oktyabrskoye,RU,43.0645,44.7417,44.74,81,75,6.71,broken clouds
291,Mecca,SA,21.4267,39.8261,82.47,54,2,6.51,clear sky
292,Thunder Bay,CA,48.4001,-89.3168,53.58,94,100,11.5,light intensity drizzle
293,Corn Island,NI,12.1694,-83.0418,81.45,76,57,8.03,broken clouds
294,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.17,67,63,12.95,broken clouds
295,Eyl,SO,7.9803,49.8164,80.22,75,56,7.81,broken clouds
296,Guayaramerin,BO,-10.8368,-65.3614,89.65,62,40,4.61,scattered clouds
297,Bolobo,CD,-2.1667,16.2333,74.28,92,99,5.01,overcast clouds
298,Mattawa,US,46.7379,-119.9028,48.2,71,99,10.0,overcast clouds
299,Laguna,US,38.421,-121.4238,66.09,44,0,1.01,clear sky
300,Inta,RU,66.0317,60.1659,29.28,97,100,6.24,overcast clouds
301,Buenos Aires,AR,-34.6132,-58.3772,74.98,63,20,6.91,few clouds
302,Goiania,BR,-16.6786,-49.2539,83.89,54,40,5.75,scattered clouds
303,Zhanaozen,KZ,43.3,52.8,55.33,51,100,10.71,overcast clouds
304,Pahalgam,IN,34.0333,75.3333,42.06,58,16,6.82,few clouds
305,Maceio,BR,-9.6658,-35.7353,85.44,65,75,16.11,broken clouds
306,Lahij,YE,13.1667,44.5833,78.21,65,17,6.71,few clouds
307,Inyonga,TZ,-6.7167,32.0667,80.73,22,70,3.15,broken clouds
308,Ginir,ET,7.1333,40.7,58.71,85,27,2.75,light rain
309,Ajaccio,FR,42.0,8.9167,69.78,43,0,4.61,clear sky
310,Mandali,IQ,33.7499,45.5541,80.6,29,77,13.62,broken clouds
311,Neubrandenburg,DE,53.5667,13.2667,59.92,75,100,12.48,light rain
312,Oyotun,PE,-6.8519,-79.3036,75.7,61,94,5.55,overcast clouds
313,Inhambane,MZ,-23.865,35.3833,78.78,78,20,11.99,few clouds
314,Conceicao Do Araguaia,BR,-8.2578,-49.2647,96.21,36,85,3.13,overcast clouds
315,Kabompo,ZM,-13.5927,24.2008,72.9,51,95,4.25,overcast clouds
316,Porto Novo,BJ,6.4965,2.6036,84.02,77,84,6.82,light rain
